PDE,Description,Supp Part No,EAN,Generic,Inventory Group,Document Display,Price GST Inc,Price GST Exc
7404,SP Clay HotCold Pk Lge 24x41cm,6304-,9313776063041,,2,,17.12,15.56
7501,Dettol Liq HWash Rvt Rasp&Pmgt250ml,3193910,9300701880866,,2,,2.78,2.53
7617,JF Vio Crush Prpl SPoo 250ml,2268502,717226155437,,2,,8.17,7.43
7625,JF Vio Crush Prpl Cond 250ml,2268602,717226155444,,2,,8.17,7.43
7722,Ferinject Vial 100mg/2ml 1,10054416,7640114721830,Iron As Ferric Carboxymaltose 100mg Inj,6,,41.28,37.53
7730,Ferinject Vial 500mg/10ml 1,10054415,7640114721847,Iron As Ferric Carboxymaltose 500mg Inj,5,,150.92,137.2
7749,Actiq 200mcg  Loz 30,333-10-17427,9334183000917,Fentanyl Citrate 200mcg Loz,5,,259.15,235.59
7757,Actiq 400mcg  Loz 30,333-10-17428,9334183000924,Fentanyl Citrate 400mcg Loz,5,,259.15,235.59
7765,Actiq 600mcg  Loz 30,333-10-17429,9334183000931,Fentanyl Citrate 600mcg Loz,5,,188.18,171.07
7773,Actiq 800mcg  Loz 30,333-10-17430,9334183000948,Fentanyl Citrate 800mcg Loz,5,,188.18,171.07
7862,Micolette Micro Enema 4,2262665a,9340404000284,,2,,6.45,6.45
7870,Nivestim 120ug/0.2ml PF Syr10  S100,F000047729,9313212303540,Filgrastim 120mcg Pfs,5,,136.22,123.84
8001,Wet Ones Be Frsh Trvl 15,X300821800,9330344001274,,2,,1.97,1.79
8044,Wet Ones Be Frsh 40,X300821500,9330344001304,,2,,3.06,2.78
8052,Wet Ones Be Gent 40,X300821600,9330344001311,,2,,3.06,2.78
8141,APO Fluconazole Cap 150mg 1,8141,9338475081417,Fluconazole 150mg Cap,1,,9.78,8.89
8214,Schick Extrm3 Disp 4,W300848300,6937266733516,,2,,6.09,5.54
8249,Schick Exacta 2 Sens 5 +1 ,W300835200,6937266703632,,2,,3.86,3.51
8257,Schick Exacta 2 Wmn 5,W300835100,6937266703625,,2,,3.86,3.51
8311,Movicol Flavr Free 13.125g Sach 30,1154114,5012748005594,Macrogol 3350 13.125g Electrolytes Pwd,2,,12.42,11.29
8370,Movicol Choc 13.125g Sach 30,1154113,5012748005617,Macrogol 3350 13.125g Electrolytes Pwd,2,,12.42,11.29
8451,APO Clotrimazole 6 Day Crm Tube 35g,8451,9338475084517,Clotrimazole 50mg/5g Crm,1,,6.5,5.91
8524,Fibro Vein 3% 5x2ml,STD-132FH,5019363132001,Sodium Tetradecyl Sulfate Amp,6,,88.47,80.43
8583,APO Temazepam Tab 10mg 25,8583,9338475085835,Temazepam 10mg Tab,5,,2.98,2.71
8591,APO Paracetamol&Codeine Tab 500mg20,8591,9338475085910,Paracetamol 500mg Codeine Phosphate 30mg Tab,5,,3.16,2.87
8664,APO Nifedipine XR Tab 30mg 30,8664,9338475086641,Nifedipine 30mg Tab,5,,7.5,6.82
8672,APO Nifedipine XR Tab 60mg 30,8672,9338475086726,Nifedipine 60mg Tab,5,,9.42,8.56
9199,Bicillin L-A 1200000/2.3ml PFS x10,156028,9313212105502,Benzathine Benzylpenicillin 0.9g/2ml Vial,5,,338.86,308.05
9229,Gilenya Cap 0.5mg 28,101861,9319099002668,Fingolimod 0.5mg Cap,5,,972.32,883.93
9245,APO Tramadol SR Tab 100mg 20,9245,9338475092451,Tramadol Hcl 100mg Tab,5,,3.42,3.11
9253,APO Tramadol SR Tab 150mg 20 ,9253,9338475092536,Tramadol Hcl 150mg Tab,5,,4.25,3.86
9261,APO Tramadol SR Tab 200mg 20,9261,9338475092611,Tramadol Hcl 200mg Tab,5,,4.42,4.02
9393,Trust Loratadine Tab 10mg 50,855167,9335737000421,Loratadine 10mg Tab,2,,7.14,6.49
9415,Pharmacor Omeprazole Cap20mg 30Btle,855157,9339218001426,Omeprazole 20mg Cap,5,,3.73,3.39
9431,Aspen Adren 1:10000 1mg/10ml Amp10,8115,9331134002518,Adrenaline (epinephrine) 1mg/10ml Amp,6,,58.98,53.62
9482,Betadine Antis Liq Spry 75ml,105596,93301992,,2,,17.42,15.84
9571,APO Gliclazide MR Tab 30mg 100,9571,9338475095711,Gliclazide Mr 30mg Tab,5,,5.81,5.28
9954,Allevyn Adh 7.5x7.5cm 2,36361422,9330169003392,,2,,16.15,16.15
10065,Oratane Cap  5mg Blst 60 ,7002420,9350299003994,Isotretinoin 5mg Cap,5,,12.87,11.7
10197,Saphris Wafers 5mg 60,1028726,840164514636,Asenapine 5mg Tab,5,,134.28,122.07
10200,Saphris Wafers 10mg 60,1028507,840164514629,Asenapine 10mg Tab,5,,223.83,203.48
10243,Axit Tab 45mg Blst 30,400008773,9323610007506,Mirtazapine 45mg Tab,5,,5.05,4.59
10251,Sulprix 100mg Tab Blst 30,400008256,9323610006615,Amisulpride 100mg Tab,5,,5.53,5.03
10286,Somidem Tab 10mg Blst 7,400505690,9323610016317,Zolpidem Tartrate 10mg Tab,6,,2.12,1.93
10464,DVeen DN Moist Ltn 500ml,103323,9330130010176,,2,,14.66,13.33
10472,DVeen DN Moist Ltn 1Ltr,100742,9330130010152,,2,,23.19,21.08
10480,DVeen DN Moist Ltn 250ml,103321,9330130010206,,2,,9.82,8.93
10685,Dantrium Pwdr For Inj 20mg 6,117519,9313212103706,Dantrolene Sodium 20mg Amp,6,,1639.11,1490.1
11088,Idaprex Combi Tab4/1.25mgBlst30 SNZ,44038897,5391189035026,Perindopril 4mg Indapamide 1.25mg Tab,5,,4.14,3.76
11096,Idaprex 8 Tab 8mg Blst 30       SNZ,44032207,3594459200304,Perindopril 8mg Tab,5,,4.69,4.26
11118,Idaprex 4 Tab 4mg Blst 30       SNZ,44032206,3594452100601,Perindopril 4mg Tab,5,,3.74,3.4
11126,Idaprex 2 Tab 2mg Blst 30       SNZ,44032205,3594451200319,Perindopril 2mg Tab,5,,2.98,2.71
11142,DVeen DN Moist Crm 100ml,100747,9330130010299,,2,,8.33,7.57
11169,DVeen EH Hand Crm 100G,100749,9330130010350,,2,,9.68,8.8
11177,DVeen DN SoapFr Wash 250ml,103325,9330130010091,,2,,9.82,8.93
11193,DVeen DN SoapFr Wash 500ml,103318,9330130010060,,2,,14.66,13.33
11207,DVeen DN SoapFr Wash 1Ltr,100738,9330130010046,,2,,23.19,21.08
11215,Regaine Men XStre Soln 4 for 3,79638682,9300607410075,,2,,159.26,144.78
11428,SP Walk/Stk Pearl Alum Adj Blk 1284,1284-,9313776012841,,2,,19.53,19.53
11436,SP Walk/Stk Pearl Alum F&A Blk 1282,1282,9313776012827,,2,,19.53,19.53
11444,SP Walk/Stk Pearl Alum Adj Bl  1285,1285,9313776012858,,2,,19.53,19.53
11606,Bushman H/Duty Aero  60g,BU60A,9317934070605,,2,,6.3,5.73
11614,Bushman H/Duty Aero 130g,BU130A,9317934061306,,2,,7.68,6.98
11622,Bushman H/Duty Aero 225g,BU225A,9317934062259,,2,,11.97,10.88
11703,SP Walk/Stk Pearl Alum F&A Pnk 1283,1283-,9313776012834,,2,,19.53,19.53
11762,Hydralyte Sprt Orng Sach 12,HSSOR12,9317039001580,,2,,22.68,20.62
11770,Hydralyte Sprt LemLim Sach 12,HSSLL12,9317039001573,,2,,22.68,20.62
11967,Skyn Condom 20,260054,9352417000540,,2,,14.89,14.89
12106,Panadol Chld 5-12 C/Fr Strawb 100ml,6E+13,9300673917133,Paracetamol 48mg/ml Susp,2,,16.19,14.72
12114,Panadol Chld 5-12 C/Fr Orng 100ml,6E+13,9300673916457,Paracetamol 48mg/ml Susp,2,,16.19,14.72
12122,Panadol Chld 1-5 C/Fr Orng 100ml,7091679,9300673916792,Paracetamol 24mg/ml Susp,2,,11.78,10.71
12130,Panadol Chld 1-5 C/Fr Strawb 100ml,7091611,9300673916112,Paracetamol 24mg/ml Susp,2,,11.78,10.71
12149,Panadol Chld 5-12 C/Fr Strawb 200ml,6E+13,9300673917300,Paracetamol 48mg/ml Susp,2,,23.95,21.77
12157,Panadol Chld 5-12 C/Fr Orng 200ml,6E+13,9300673916624,Paracetamol 48mg/ml Susp,2,,23.95,21.77
12211,Panadol Chld 1-5 C/Fr Orng 200ml,7091696,9300673916969,Paracetamol 24mg/ml Susp,2,,16.58,15.07
12238,Panadol Chld 1-5 C/Fr Strawb 200ml,7091628,9300673916280,Paracetamol 24mg/ml Susp,2,,16.58,15.07
12254,Betadine Sore Thrt/Grgl RTU 120ml,105603,9300655122548,,2,,12.3,11.18
12416,Ostelin Vit D & Calc Tab 250,5006,9316090500605,Vitamin D 500iu Calcium Carbonate 600mg Tab,2,,36.83,33.48
12459,Swisse UBst Calc +Vit D Tab 90,01-F14-10008,9311770589888,,2,,8.99,8.17
12599,Trix Dtgnt Lem 1Ltr x9,82240,9300615081403,,2,,19.51,17.74
12602,Radiant Commercial Blend 12kg,100004586,9300615020396,,2,,34.02,30.93
12874,Tobi Soln 300mg/5ml Amp 56,400551743,9319099003122,Tobramycin 300mg Inhalation,5,,488.21,443.83
13544,APO Alendronate Tab 70mg Blst 4,2972,9338475029723,Alendronate Sod 70mg Tab,5,,4.3,3.91
13773,Roxithromycin Tab 300mg Blst 5  SNZ,44113117,9322838007794,Roxithromycin 300mg Tab,5,,3.32,3.02
13781,Roxithromycin Tab 150mg Blst 10 SNZ,44113116,9322838007787,Roxithromycin 150mg Tab,5,,3.32,3.02
14508,Indosyl Mono Tab 4mg 30,7002321,3594452100656,Perindopril Erbumine 4mg Tab,5,,3.74,3.4
14524,Valaciclovir RBX Tab 500mg 100 S100,1101548,8901296026106,Valaciclovir 500mg Tab,5,,43.45,39.5
14532,Indosyl Mono Tab 8mg 30,7002322,3594459200342,Perindopril Erbumine 8mg Tab,5,,4.82,4.38
14834,Fragmin 15000iu 0.6ml 10,F000036877,9313212108138,Dalteparin Sodium Inj,6,,333.26,302.96
14842,Fragmin 12500iu 0.5ml  10,F000036941,9313212108121,Dalteparin Sodium Inj,6,,201.82,183.47
14850,Clopidogrel Winthrop+Aspirin Tab 30,325340,9319733002467,Clopidogrel 75mg Aspirin 100mg Tab,5,,4.73,4.3
14877,Ego Aqium H/Sanit Aloe 375ml,10759,9314839008511,,2,,6.61,6.01
14966,Amiodarone Tab 200mg Blst 30    SNZ,44035015,9322838007558,Amiodarone 200mg Tab,5,,5.37,4.88
15024,Astrix Cap 100mg 84,15024,9334820000058,Aspirin 100mg Cap,2,,7.95,7.23
15040,Xgeva Vial 120mg/1.7ml x1,9000233,9320448400011,Denosumab 120mg Vial,5,,469.37,426.7
15083,Fenpatch  75mcg/hr Patch 5,7004065,9350299005783,Fentanyl 75mcg Patch,5,,22.25,20.23
15121,Ego Aqium H/Sanit 375ml,10751,9314839007651,,2,,6.61,6.01
15148,Ego Aqium H/Sanit 1Ltr,12131,9314839007668,,2,,14.32,13.02
15210,Revolade Tab 25mg 28           S100,763160,7612797631607,Eltrombopag Olamine 25mg Tab,5,,1350.93,1228.12
15229,Revolade Tab 50mg 28           S100,763150,7612797631508,Eltrombopag Olamine 50mg Tab,5,,2701.86,2456.24
15350,Fampyra Tab 10mg 56,1260404,9344361000042,Fampridine 10mg Tab,6,,192.85,175.32
15415,Targin Tab 5/2.5mg 28 ,2180,9326307001016,Oxycodone Hcl 5mg Naloxone Hcl 2.5mg Tab,5,,19.13,17.39
15423,Targin Tab 20/10mg 28,2182,9326307001030,Oxycodone Hcl 20mg Naloxone Hcl 10mg Tab,5,,36.1,32.82
15431,Targin Tab 10/5mg  28,2181,9326307001023,Oxycodone Hcl 10mg Naloxone Hcl 5mg Tab,5,,20.36,18.51
15458,Targin Tab 40/20mg 28,2183,9326307001047,Oxycodone Hcl 40mg Naloxone Hcl 20mg Tab,5,,54.57,49.61
15520,Aptamil Gld Pepti Jnr 450g,57240,9418783002998,Protein Hydrolysate Medium Chain Triglycerides Pwd,5,,22.84,22.84
15741,Ausfam Tab 40mg 30,7003532,9350299004847,Famotidine 40mg Tab,5,,4.33,3.94
15768,Azapin Tab 50mg 100,7004057,9350299005424,Azathioprine 50mg Tab,5,,15.54,14.13
15792,Epiramax Tab  25mg 60,7003555,9350299002997,Topiramate 25mg Tab,5,,4.73,4.3
15806,Epiramax Tab  50mg 60,7003556,9350299003000,Topiramate 50mg Tab,5,,7.23,6.57
15814,Epiramax Tab 100mg 60,7003553,9350299003017,Topiramate 100mg Tab,5,,11.36,10.33
15873,Wet Ones Be Frsh Gusset 80,X302021700,9330344010276,,2,,4.75,4.32
16004,Metrol Tab  50mg Blst 100,7002525,9350299001198,Metoprolol Tartrate 50mg Tab,5,,2.98,2.71
16012,Metrol Tab 100mg Blst  60,7002524,9350299001204,Metoprolol Tartrate 100mg Tab,5,,3.27,2.97
16047,Bicard Tab 2.5mg 28,7002323,9350299000375,Bisoprolol Fumarate 2.5mg Tab,5,,4.73,4.3
16055,Bicard Tab 5mg 28,7002324,9350299000382,Bisoprolol Fumarate 5mg Tab,5,,4.87,4.43
16063,Bicard Tab 10mg 28,7002325,9350299000399,Bisoprolol Fumarate 10mg Tab,5,,6.09,5.54
16101,Faverin Tab  50mg 30,7004059,9350299005165,Fluvoxamine Maleate 50mg Tab,5,,6.23,5.66
16128,Favic Tab 250mg 21 ,7002169,9350299000115,Famciclovir 250mg Tab,5,,21.3,19.36
16187,ProCalm Tab 5mg 25,7002356,9350299000283,Prochlorperazine 5mg Tab,5,,3.16,2.87
16217,Clonac Tab 25mg 50,7004033,9350299006674,Diclofenac Sodium 25mg Tab,5,,2.98,2.71
16225,Clonac Tab 50mg 50,7004034,9350299006681,Diclofenac Sodium 50mg Tab,5,,3.16,2.87
16233,Favic Tab 250mg 56 ,7002170,9350299000139,Famciclovir 250mg Tab,5,,56.75,51.59
16373,Tena Pad U/Thn Mini SRP AUS 20 x6,760388,7322541485423,,2,,44.71,44.71
16381,Tena Pad Instadry AUS SRP 10 x6,760850,7322541485959,,2,,40.14,40.14
16403,Tena Pad Instadry AUS SRP 20 x3,760851,7322541486024,,2,,31.77,31.77
16411,Tena Men Lvl 1 12 x4,750658,7322540426335,,2,,41.97,41.97
16489,Tena Men Lvl 2 10 x4,750759,7322540016413,,2,,41.97,41.97
16497,Tena Pad Ext Std AUS 24 x3,760782,7322541744001,,2,,31.77,31.77
16500,Tena Pad Ext Std 12 x6,760783,7322541744261,,2,,43.56,43.56
16519,Tena Liner Std 30 x6,2309658,9325344000969,,2,,31.7,31.7
16527,Tena Liner Ex/Lng 24 x6,761842,7322540298932,,2,,34.57,34.57
16535,Tena Pad Maxi Nght 14 x3,2309017,9325344001645,,2,,34.98,34.98
16543,Libra Pad G/Nght Ext 10 x6,2309644,9325344001690,,2,,41.08,41.08
16551,Libra Invis Pad Ext Long 10 x6,2309613,9325344000525,,2,,41.08,41.08
16586,Libra Pad G/Nght U/Thn 10 x6,2309687,9325344000129,,2,,41.08,41.08
16667,Libra Pad Mtnty 10 x6,2309645,9325344001232,,2,,41.08,41.08
16853,Libra Pad Ext Wng Reg 14 x6,2328791,29325344001731,,2,,41.08,41.08
16861,Libra Pad Ext Wng Super 12 x6,2328790,9325344001744,,2,,41.08,41.08
16918,Libra Pad U/Thn Wng Reg 14 x6,2309582,9325344001751,,2,,41.08,41.08
16926,Libra Pad U/Thn Wng Super 12 x6,2309612,9325344001768,,2,,41.08,41.08
17027,Suvana Paw Paw & Hny Balm 25g,SFG1003,9340453000006,,2,,6.47,5.88
17094,Swisse Chld Tab UVit 120,01-F12-10005,9311770589970,,2,,11.02,10.02
17116,Swisse UBst Liver Detox Tab 120,01-F05-10004,9311770589994,,2,,19.97,18.15
17132,Nurofen Chld 5-12 Orng 200ml,356283,9300711562837,,2,,29.61,26.92
17159,Swisse UBst Co-Enzyme Q10 Cap 50,01-F10-10013,9311770590020,,2,,22.56,20.51
17167,Swisse UBst Magn Tab 120,01-F02-10015,9311770590006,,2,,16.37,14.88
17264,Zoely Tab 28 3Mths,THX-0001279,5060632508805,Nomegestrol Acetate 2.5mg Estradiol 1.5mg Tab,6,,100.19,91.08
17434,Nurofen Chld 5-12 Strawb 200ml ,356281,9300711562813,,2,,29.61,26.92
17671,APO Finasteride Tab 5mg Blst 30,2012,9338475020126,Finasteride 5mg Tab,6,,20.37,18.52
17876,Iberogast Liq 50ml,82207368,9310160822741,,2,,22.13,20.12
17884,SFI Hlth Premular Tab 30,1154658,9329771000097,,2,,18.46,16.78
17892,SFI Hlth Remotiv Tab 60,1154659,9329771000011,,2,,30.79,27.99
17906,SFI Hlth Femular Tab 30,1154660,9329771000363,,2,,18.28,16.62
17930,Onbrez Breezhaler Cap 150mcg 30    ,717824,9319099001425,Indacaterol Maleate 194mcg Cap,5,,49.89,45.35
17981,Ensure Two Cal Van 200ml,2048622,8710428000910,,2,,6.18,6.18
18015,Onbrez Breezhaler Cap 300mcg 30,717826,9319099001449,Indacaterol Maleate 389mcg Cap,5,,49.89,45.35
18112,Panadol Optizorb Tab  50,6E+13,9300673839114,Paracetamol 500mg Tab,2,,9.35,8.5
18147,Invega Sustenna Inj  25mg,8185,9317376000055,Paliperidone 25mg Inj,5,,89.38,81.25
18155,Invega Sustenna Inj  50mg,8186,9317376000062,Paliperidone 50mg Inj,5,,178.73,162.48
18163,Invega Sustenna Inj  75mg,8187,9317376000079,Paliperidone 75mg Inj,5,,232.51,211.37
18171,Invega Sustenna Inj 100mg ,8188,9317376000086,Paliperidone 100mg Inj,5,,285.74,259.76
18198,Invega Sustenna Inj 150mg ,8189,9317376000093,Paliperidone 150mg Inj,5,,285.74,259.76
18392,Colg Plax MWash FMint 250ml,1525449,8850006303306,,2,,3.28,2.98
18414,APO Famciclovir Tab 500mg Blst 56  ,1299,9338475012992,Famciclovir 500mg Tab,5,,56.78,51.62
18422,APO Famciclovir Tab 500mg Blst 30,4191,9338475041916,Famciclovir 500mg Tab,5,,30.42,27.65
18449,Sifrol ER Tab 2.25mg 30,125926,9310717211622,Pramipexole Hcl 2.25mg Tab,5,,49.76,45.24
18457,Sifrol ER Tab 3.75mg 30,125925,9310717211639,Pramipexole Hcl 3.75mg Tab,5,,88.97,80.88
18465,Cozavan Tab 25mg 30,400008707,9323610007452,Losartan 25mg Tab,6,,6.61,6.01
18473,Cozavan Tab 50mg 30 ,400008708,9323610007469,Losartan 50mg Tab,6,,9.17,8.34
18554,Brauer Calm Tab 60,110905,9316120109051,,2,,19.36,17.6
18619,Tena Pad U/Thn MiniPlus SRP AUS16x6,760397,7322541485492,,2,,44.71,44.71
18708,Sorbent T/Paper EThck Wht 16pk x3,2342459,9310004111321,,2,,33.89,30.81
18740,Drixine Menth N/Drip Spry 15ml,85285807,9310160823441,Oxymetazoline Hydrochloride 0.5mg/ml Spry,2,,15.09,13.72
18767,IsoWhey Class Coff 672g,200017,9354792001167,,2,,36.59,33.26
18791,Kotex U Maxi Reg Wng 16 x6,91421,9310088005417,,2,,21.54,21.54
18805,Kotex U Maxi Sup Wng 14 x6,91423,9310088005424,,2,,21.54,21.54
18813,Kotex U Maxi Mtnty 10 x6,91425,9310088005448,,2,,21.54,21.54
18899,Poise Lght Liners 18 x8,91673,9310088016734,,2,,24.04,24.04
19003,Midazolam Glass Amp 15mg/3ml  5 ALP,400008760,9323610007896,Midazolam 15mg Amp,6,,18.13,16.48
19011,Midazolam Glass Amp 50mg/10ml 5 ALP,400008763,9323610007902,Midazolam 50mg Amp,6,,61.8,56.18
19283,Nicotinell Patch 14mg Step 2 28Pk,5000023656,9319912034135,Nicotine 14mg Patch,5,,37.42,37.42
19291,Nicotinell Patch  7mg Step 3 28Pk,5000023658,9319912034159,Nicotine 7mg Patch,5,,37.42,37.42
19348,IsoWhey Madagascan Van 672g,200020,9354792001181,,2,,36.59,33.26
19453,APO Meloxicam Cap 7.5mg Blst 30    ,4522,9338475045228,Meloxicam 7.5mg Cap,5,,3.82,3.47
19461,APO Meloxicam Cap 15mg Blst 30,4567,9338475045679,Meloxicam 15mg Cap,5,,4.58,4.16
19747,Lignocaine Plst Steriluer 1%5ml50PF,101825,9313212106134,Lignocaine 1% Soln,6,,75.5,68.64
19992,Sulprix Tab 200mg Blst 60 ,400008257,9323610006622,Amisulpride 200mg Tab,5,,23.01,20.92
20001,Temizole Cap 5mg Btle 5,400551057,9323610015020,Temozolomide 5mg Cap,5,,5.38,4.89
20028,Temizole Cap 20mg Btle 5,400551053,9323610015037,Temozolomide 20mg Cap,5,,14.99,13.63
20036,Temizole Cap 100mg Btle 5,400551052,9323610015044,Temozolomide 100mg Cap,5,,64.25,58.41
20044,Temizole Cap 140mg Btle 5,400551054,9323610015051,Temozolomide 140mg Cap,5,,88.61,80.55
20052,Temizole Cap 250mg Btle 5,400551055,9323610015075,Temozolomide 250mg Cap,5,,159.37,144.88
20087,Anastrozole Tab 1mg Blst 30     SNZ,44040656,9322838007879,Anastrozole 1mg Tab,5,,8.16,7.42
20133,APO Amisulpride Tab 400mg Blst 60,4237,9338475042371,Amisulpride 400mg Tab,5,,43.4,39.45
20141,APO Amisulpride Tab 100mg Blst 30,4207,9338475042074,Amisulpride 100mg Tab,5,,5.61,5.1
20168,APO Amisulpride Tab 200mg Blst 60,4223,9338475042234,Amisulpride 200mg Tab,5,,23.94,21.76
20184,Elocon Oint 50g                  S4,400532653,840164514063,Mometasone Furoate 0.1% Oint,6,,25.82,23.47
20338,Advil P/Fvr IDrps 3Mnths-2Yrs 40ml,F000146886,9310488000289,,2,,8.04,7.31
20354,Advil P/Fvr Susp 2-12Yrs 200ml,F000046848,9310488000265,,2,,13.12,11.93
